vol,ask,bid,open,close,high,low,result
1286415.0,83638.25,83610.0,1466.25,1469.0,1471.25,1462.0,1
895398.0,42624.0,42609.75,1469.5,1470.25,1472.75,1466.5,0
1214218.0,42582.0,42568.25,1466.5,1468.5,1472.0,1460.5,1
946006.0,42814.25,42800.25,1472.0,1480.0,1481.5,1471.25,0
1424969.0,84534.5,84508.0,1482.25,1485.5,1487.75,1477.5,0
1212017.0,42888.25,42873.75,1481.25,1482.0,1484.0,1473.5,0
1318274.0,43016.5,43002.0,1487.25,1482.25,1489.75,1477.25,0
929761.0,42985.5,42971.5,1480.75,1484.25,1485.0,1478.5,0
1877086.0,84749.0,84721.0,1481.0,1490.25,1494.0,1479.25,1
850185.0,43241.5,43227.0,1489.0,1493.5,1495.0,1487.5,1
820567.0,43354.5,43340.25,1493.0,1498.5,1499.25,1490.75,1
1027263.0,43521.5,43507.5,1502.0,1502.25,1504.75,1494.5,0
1852156.0,85247.75,85220.75,1492.25,1492.75,1501.75,1488.25,0
1015198.0,43268.75,43254.75,1494.75,1492.0,1496.75,1486.5,0
1215530.0,43228.75,43214.25,1494.25,1481.25,1497.0,1481.0,1
770059.0,41456.75,41442.75,1484.25,1480.0,1484.25,1476.75,1
1020553.0,42938.25,42924.5,1481.75,1478.25,1486.75,1475.0,1
900634.0,41741.75,41728.75,1482.25,1493.5,1496.0,1482.0,0
1127638.0,41977.25,41963.5,1495.5,1498.5,1502.5,1492.75,0
1256073.0,41897.75,41883.75,1492.0,1501.0,1502.75,1489.75,1
1176222.0,41947.0,41933.0,1501.75,1493.75,1503.25,1490.75,0
789699.0,41793.0,41779.0,1494.0,1494.5,1495.0,1488.75,1
837703.0,41972.75,41958.75,1493.5,1497.5,1501.75,1492.0,1
1365966.0,41978.0,41964.0,1502.5,1507.25,1508.75,1492.5,0
1071094.0,42301.5,42288.0,1506.75,1510.75,1515.25,1505.75,1
974245.0,42411.0,42397.25,1515.75,1514.5,1517.5,1511.5,0
864794.0,42329.5,42315.75,1509.75,1514.25,1514.75,1507.5,0
860297.0,42414.0,42400.0,1512.75,1514.75,1517.5,1510.75,1
617152.0,33323.25,33312.75,1515.25,1515.5,1516.0,1512.25,0
526158.0,42470.75,42457.5,1516.5,1517.75,1520.75,1514.0,0
4441.0,13651.75,13647.25,1516.25,1516.0,1517.5,1515.25,0
1740765.0,66231.25,66209.25,1511.25,1493.0,1517.5,1492.25,0
1295942.0,41891.0,41877.0,1490.0,1498.0,1500.0,1489.5,0
1206247.0,42233.0,42219.25,1503.25,1512.0,1513.0,1501.75,0
1429019.0,42326.0,42312.25,1511.75,1512.75,1518.25,1505.0,1
1624891.0,42173.25,42159.25,1512.75,1509.75,1514.0,1497.0,0
