vol,ask,bid,open,close,high,low,start,end
1122635,73332.5,73318.5,2618.75,2620.5,2623,2614,2017-03-03 09:30:00,2017-03-03 16:15:00
1106099,73159.25,73145.5,2612.25,2615.25,2618,2606.75,2017-03-06 09:30:00,2017-03-06 16:15:00
1085148,73080.25,73066.25,2611,2606.25,2614.5,2604.25,2017-03-07 09:30:00,2017-03-07 16:15:00
1161282,73038.25,73024.5,2608.25,2604.25,2612.75,2600.5,2017-03-08 09:30:00,2017-03-08 16:15:00
249251,72919.25,72905.25,2604.5,2606,2609,2593.75,2017-03-09 09:30:00,2017-03-09 16:15:00
941327,73092.25,73078.5,2616.25,2611,2616.75,2601.75,2017-03-10 09:30:00,2017-03-10 16:15:00
689843,73131.5,73117.75,2612.25,2614.25,2614.75,2608.25,2017-03-13 08:30:00,2017-03-13 15:45:00
1153043,72911,72897,2608.25,2605.5,2608.25,2597.5,2017-03-14 08:30:00,2017-03-14 15:45:00
1226557,73269.75,73256.25,2611.5,2621,2630.5,2608.5,2017-03-15 08:30:00,2017-03-15 15:45:00
1185541,76034.75,76020.5,2627.25,2622,2628.25,2616.25,2017-03-16 08:30:00,2017-03-16 15:30:00
1065477,73393,73379,2621.75,2618,2625,2615.5,2017-03-17 08:30:00,2017-03-17 15:45:00
958281,73220,73206,2614.5,2613.25,2618.75,2608.25,2017-03-20 08:30:00,2017-03-20 15:45:00
2440703,72715.25,72701.5,2618.5,2583.25,2621.5,2580.75,2017-03-21 08:30:00,2017-03-21 15:45:00
1581981,74958,74944,2581.5,2585.5,2591.5,2575.5,2017-03-22 08:30:00,2017-03-22 15:30:00
1433422,75151.5,75137,2585.75,2583,2598.75,2581,2017-03-23 08:30:00,2017-03-23 15:30:00
1441741,75078.25,75063.75,2587.75,2586.75,2595.5,2574.5,2017-03-24 08:30:00,2017-03-24 15:30:00
1328044,72129.25,72116,2564.75,2582.25,2584.25,2560.75,2017-03-27 08:30:00,2017-03-27 15:45:00
1449924,72584.75,72570.75,2578.5,2594.25,2603.25,2576.25,2017-03-28 08:30:00,2017-03-28 15:45:00
1004104,72773.5,72759.5,2594.75,2599.5,2602.5,2591.5,2017-03-29 08:30:00,2017-03-29 15:45:00
